date,home_team,away_team,team,scorer,minute,own_goal,penalty
1916-07-02,Chile,Uruguay,Uruguay,José Piendibene,44,FALSE,FALSE
1916-07-02,Chile,Uruguay,Uruguay,Isabelino Gradín,55,FALSE,FALSE
1916-07-02,Chile,Uruguay,Uruguay,Isabelino Gradín,70,FALSE,FALSE
1916-07-02,Chile,Uruguay,Uruguay,José Piendibene,75,FALSE,FALSE
1916-07-06,Argentina,Chile,Argentina,Alberto Ohaco,2,FALSE,FALSE
1916-07-06,Argentina,Chile,Chile,Telésforo Báez,44,FALSE,FALSE
1916-07-06,Argentina,Chile,Argentina,Juan Domingo Brown,60,FALSE,TRUE
1916-07-06,Argentina,Chile,Argentina,Juan Domingo Brown,62,FALSE,TRUE
1916-07-06,Argentina,Chile,Argentina,Alberto Marcovecchio,67,FALSE,FALSE
1916-07-06,Argentina,Chile,Argentina,Alberto Ohaco,75,FALSE,FALSE
1916-07-06,Argentina,Chile,Argentina,Alberto Marcovecchio,81,FALSE,FALSE
1916-07-08,Brazil,Chile,Brazil,Demóstenes Correia de Syllos,29,FALSE,FALSE
1916-07-08,Brazil,Chile,Chile,Hernando Salazar,85,FALSE,FALSE
1916-07-10,Argentina,Brazil,Argentina,José Durand Laguna,10,FALSE,FALSE
1916-07-10,Argentina,Brazil,Brazil,Manoel Alencar Monte,23,FALSE,FALSE
1916-07-12,Brazil,Uruguay,Brazil,Arthur Friedenreich,8,FALSE,FALSE
1916-07-12,Brazil,Uruguay,Uruguay,Isabelino Gradín,58,FALSE,FALSE
1916-07-12,Brazil,Uruguay,Uruguay,Jose Tognola,77,FALSE,FALSE
1917-09-30,Uruguay,Chile,Uruguay,Carlos Scarone,20,FALSE,FALSE
1917-09-30,Uruguay,Chile,Uruguay,Ángel Romano,44,FALSE,FALSE
